"website_id","session_id","visit_id","event_id","hostname","browser","os","device","screen","language","country","region","city","url_path","url_query","utm_source","utm_medium","utm_campaign","utm_content","utm_term","referrer_path","referrer_query","referrer_domain","page_title","gclid","fbclid","msclkid","ttclid","li_fat_id","twclid","event_type","event_name","tag","distinct_id","created_at","job_id"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","f8c2cdd6-acac-40f1-9b42-ae84164971c5","5d89b35c-5c3a-4b72-b1ab-5918e40d44c1","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/banasree","","","","","","","/","","","","","","","","","",1,"","","","2023-04-26 17:06:56","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","f8c2cdd6-acac-40f1-9b42-ae84164971c5","f11e3c16-d7db-47a6-8d2d-b27f98d42ff3","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/banasree","","","","","","","/","","","","","","","","","",1,"","","","2023-04-26 17:14:51","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","f743bf1f-3985-49c6-b339-b88f0fbad5cd","a1084c64-f867-4a1c-8218-c45a1d72a60b","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/banasree/pasta-club-south-banasree","","","","","","","/popular-areas/banasree","","","","","","","","","",1,"","","","2023-04-26 14:28:15","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","f743bf1f-3985-49c6-b339-b88f0fbad5cd","eef7cf19-7d1f-40f0-b931-dc32d3e4debe","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/banasree/pasta-club-south-banasree","","","","","","","/popular-areas/banasree/pasta-club-south-banasree","","localhost","","","","","","","",1,"","","","2023-04-26 14:49:36","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","f743bf1f-3985-49c6-b339-b88f0fbad5cd","da9ace6c-5013-449a-9c4f-83d6fc89b008","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/banasree/pasta-club-south-banasree","","","","","","","/popular-areas/banasree/pasta-club-south-banasree","","localhost","","","","","","","",1,"","","","2023-04-26 14:55:50","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","f743bf1f-3985-49c6-b339-b88f0fbad5cd","9ab1bcd1-7e7b-4deb-add2-2cebb9a835a3","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/banasree/pasta-club-south-banasree","","","","","","","/popular-areas/banasree/pasta-club-south-banasree","","localhost","","","","","","","",1,"","","","2023-04-26 14:55:55","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","727f2f75-fd06-4c83-aad5-46d413e24b82","8a27562e-1ca3-44e4-a3d0-861e5365f9b8","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/banasree/pasta-club-south-banasree","","","","","","","/popular-areas/banasree/pasta-club-south-banasree","","localhost","","","","","","","",1,"","","","2023-04-26 15:20:35","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","727f2f75-fd06-4c83-aad5-46d413e24b82","f23c7550-3040-4950-bf83-62bb021417b9","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/banasree/pasta-club-south-banasree","","","","","","","/popular-areas/banasree/pasta-club-south-banasree","","localhost","","","","","","","",1,"","","","2023-04-26 15:23:33","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","727f2f75-fd06-4c83-aad5-46d413e24b82","313a5c28-dd01-4179-86fc-511609120065","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/banasree/pasta-club-south-banasree","","","","","","","/popular-areas/banasree/pasta-club-south-banasree","","localhost","","","","","","","",1,"","","","2023-04-26 15:24:44","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","727f2f75-fd06-4c83-aad5-46d413e24b82","0d2299c2-d381-4c36-8168-ceac79c98918","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/banasree/pasta-club-south-banasree","","","","","","","/popular-areas/banasree/pasta-club-south-banasree","","localhost","","","","","","","",1,"","","","2023-04-26 15:26:31","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","727f2f75-fd06-4c83-aad5-46d413e24b82","7a52daaf-40db-422f-ba5f-2a4c78132c8d","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/banasree/pasta-club-south-banasree","","","","","","","/popular-areas/banasree/pasta-club-south-banasree","","localhost","","","","","","","",1,"","","","2023-04-26 15:36:48","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","a35bb492-485b-4162-99a8-93ae6069e70f","d3f08230-8c54-417a-a480-bcf70c1464ed","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/banasree/pasta-club-south-banasree","","","","","","","/popular-areas/banasree/pasta-club-south-banasree","","localhost","","","","","","","",1,"","","","2023-04-26 16:08:02","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","febfff51-2b36-5a9c-932f-27e12377d622","14b834b3-3feb-4ecb-8bb5-409de8c67e96","9eeb4a78-afe9-4d84-b5ff-f995088c38a6","dev.offerkhao.com","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/popular-areas/banasree/pasta-club-south-banasree","","","","","","","/popular-areas/banasree","","","","","","","","","",1,"","","","2023-04-26 16:51:28","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","77173df2-e59a-5fe2-8aef-835d93c04885","f8c2cdd6-acac-40f1-9b42-ae84164971c5","95d05982-9c9f-4102-885e-160e539500d2","localhost","chrome","Mac OS","laptop","1470x956","en-GB","BD","BD-C","Mirpur","/popular-areas/banasree/tasty-treat---banasree-e-block","","","","","","","/popular-areas/banasree","","","","","","","","","",1,"","","","2023-04-26 17:14:53","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","de94e63f-1b73-56c0-9c21-1d1a5fad0421","6162800f-1938-4fc5-b551-8ee7d52609d8","9a1bd648-f90d-4bd1-9519-f381c6ded76f","localhost","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/popular-areas/khilgaon","","","","","","","/","","","","","","","","","",1,"","","","2023-04-26 17:06:51","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","febfff51-2b36-5a9c-932f-27e12377d622","b7deef63-98fb-4087-8f99-d19695d6b96c","0f518866-4c22-4a8e-af19-a664d5b20ef6","dev.offerkhao.com","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/popular-areas/khilgaon","","","","","","","/","","","","","","","","","",1,"","","","2023-04-26 17:08:37","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","febfff51-2b36-5a9c-932f-27e12377d622","b7deef63-98fb-4087-8f99-d19695d6b96c","dc7d84d0-0223-4905-95bd-db239607ed88","dev.offerkhao.com","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/popular-areas/khilgaon","","","","","","","/","","","","","","","","","",1,"","","","2023-04-26 17:09:00","00000000-0000-0000-0000-000000000000"
"6cab8d4c-c109-484d-be07-d16ee8ad45fc","febfff51-2b36-5a9c-932f-27e12377d622","b7deef63-98fb-4087-8f99-d19695d6b96c","0df450c4-37ac-42f0-ba54-5d953ce54a90","dev.offerkhao.com","chrome","Linux","desktop","1920x1080","en-US","BD","BD-C","Dhaka","/popular-areas/khilgaon","","","","","","","/","","","","","","","","","",1,"","","","2023-04-26 17:09:02","00000000-0000-0000-0000-000000000000"
